monthly_revenue,loanAmt,businessHistory,industry,zipCode,hasProperty,otherLoan,cash,directorAge,taxReturn,isDefault
10881,98490,0,ServicesSectors,7334,1,1,4915,21,-4824,0
12921,85948,0,RetailTrade,2334,1,1,512,18,-3092,0
6087,86836,0,AccommodationAndFoodServices,2989,0,1,4294,18,-4029,0
9055,54309,0,HealthCareAndSocialAssistance,3566,1,1,-4922,20,-3908,0
12316,58177,0,EducationAndTraining,2373,1,1,1985,21,-8234,0
8192,34039,0,EducationAndTraining,2909,0,1,-3595,17,-5232,0
5088,34344,0,ServicesSectors,5588,0,1,-3987,23,-3834,0
11308,73418,0,RetailTrade,2609,0,1,-4657,24,-598,0
13540,54616,0,Construction,2619,1,1,-2401,23,-8668,0
9587,94553,0,HealthCareAndSocialAssistance,2986,0,1,1940,22,-5540,0
3320,54053,0,ServicesSectors,2920,0,1,3490,22,-5712,0
10314,26184,0,RetailTrade,2155,1,1,3976,18,-5089,0
2261,17033,0,RetailTrade,2672,0,1,-1492,24,-529,0
3479,37841,0,Construction,2654,1,1,-4063,19,-1744,0
4829,51208,0,OtherServices,9082,0,1,2011,20,-9794,0
7823,36164,0,HealthCareAndSocialAssistance,2182,0,1,1323,21,-6760,0
11239,70744,0,Construction,2900,0,1,3093,22,-8147,0
5796,25001,0,AccommodationAndFoodServices,2953,0,1,-2577,22,468,0
5676,43892,0,Construction,2181,1,1,-4457,20,-5291,0
14304,8107,0,HealthCareAndSocialAssistance,2698,1,1,2918,21,-73,0
5743,88310,0,ServicesSectors,6798,1,1,3363,21,-5186,0
14447,25898,0,HealthCareAndSocialAssistance,2921,1,1,1080,18,-6313,0
12835,94604,0,AccommodationAndFoodServices,2983,1,1,-1806,18,-3820,0
2668,50276,0,RetailTrade,4881,1,1,4644,18,-446,0
9650,65715,0,EducationAndTraining,2657,1,1,4614,19,-7343,0
13798,17566,0,RetailTrade,2262,0,1,-2806,22,-5392,0
1562,13716,0,OtherServices,2977,1,1,-129,23,-834,0
11291,62265,0,AccommodationAndFoodServices,0214,0,1,4729,22,-5153,0
3359,88193,0,RetailTrade,2679,1,1,3930,19,-3183,0
12457,87904,0,OtherServices,2616,0,1,2175,21,-2288,0
11598,71543,0,RetailTrade,2669,1,1,1539,20,-2692,0
1036,23455,0,RetailTrade,2097,1,1,3764,20,-4278,0
4899,91156,0,RetailTrade,2913,1,1,3893,19,-8798,0
10066,19321,0,AccommodationAndFoodServices,2910,0,1,-320,18,-8550,0
3634,43483,0,HealthCareAndSocialAssistance,0995,1,1,-4615,19,-3752,0
12829,59102,0,EducationAndTraining,2333,0,1,-2839,18,-5563,0
2401,29618,0,AccommodationAndFoodServices,2493,1,1,-3650,22,-8721,0
12659,60655,0,EducationAndTraining,0802,1,1,-4689,22,-7158,0
4877,9941,0,ServicesSectors,2913,0,1,-2049,23,-8634,0
4689,22464,0,AccommodationAndFoodServices,2192,1,1,821,21,-507,0
9979,27184,0,RetailTrade,2982,1,1,-1559,24,-578,0
5519,99525,0,Construction,2610,1,1,-253,23,-3672,0
14375,89256,0,Construction,2636,0,1,897,21,-4685,0
9477,53417,0,Construction,2625,0,1,1952,24,-5153,0
3565,87909,0,ServicesSectors,2670,0,1,418,18,-5000,0
13445,25012,0,HealthCareAndSocialAssistance,2690,1,1,-1377,20,-4177,0
7254,7479,0,Construction,2385,1,1,-1835,18,-6459,0
11599,43179,0,ServicesSectors,2676,1,1,2730,23,-717,0
5085,96765,0,RetailTrade,2681,0,1,708,22,-8340,0
10893,45796,0,EducationAndTraining,2924,1,1,-739,19,-7341,0
9103,95477,0,AccommodationAndFoodServices,2975,0,1,1064,24,-9078,0
7915,59805,0,EducationAndTraining,0228,0,1,-1010,17,-554,0
14780,25815,0,HealthCareAndSocialAssistance,2878,0,1,-3518,18,-8753,0
14636,58160,0,RetailTrade,2917,1,1,2922,20,758,0
4656,22557,0,AccommodationAndFoodServices,7148,0,1,-972,18,-1,0
14546,33828,0,ServicesSectors,4746,1,1,-761,23,-3226,0
6881,65987,0,RetailTrade,2619,0,1,1766,20,-769,0
12231,27479,0,OtherServices,4010,0,1,1944,19,-2230,0
10109,88246,0,RetailTrade,2306,0,1,1144,21,-8660,0
12369,35896,0,EducationAndTraining,2426,0,1,3153,17,-4394,0
5644,89533,0,RetailTrade,2612,1,1,4765,19,-4045,0
9205,44233,0,Construction,2933,1,1,-919,20,-4033,0
11515,47884,0,RetailTrade,2977,1,1,-961,17,-8667,0
4977,12952,0,RetailTrade,2615,0,1,-4309,21,-7778,0
1079,53868,0,HealthCareAndSocialAssistance,2934,1,1,-3420,22,-2769,0
5793,40879,0,HealthCareAndSocialAssistance,2972,1,1,1046,18,-6677,0
14017,41088,0,HealthCareAndSocialAssistance,2619,1,1,-222,19,970,0
9303,80133,0,OtherServices,2269,1,1,4019,17,800,0
3066,54495,0,OtherServices,2961,0,1,111,18,-6816,0
5885,49548,0,OtherServices,2634,0,1,-4228,20,-6811,0
11168,33903,0,HealthCareAndSocialAssistance,2976,0,1,-2750,18,-2824,0
