monthly_revenue,loanAmt,businessHistory,industry,zipCode,hasProperty,otherLoan,cash,directorAge,taxReturn,isDefault
7648,25308,1,RentalHiringAndTrade,0269,1,0,8344,36,12415,1
2155,31561,1,Construction,2920,1,0,6286,35,11258,1
14857,47539,1,InformationMediaAndTelecommunications,2968,0,0,7546,43,10838,1
12398,86986,2,Manufacturing,2920,0,0,806,59,4261,1
1616,96287,1,"Transport,PostalAndWarehousing",2628,0,0,4135,38,2989,1
13559,34432,2,RentalHiringAndTrade,2655,0,1,7436,46,2487,1
10471,44578,1,PublicAdministrationAndSafety,2916,1,1,8390,57,12285,1
4165,17179,2,RentalHiringAndTrade,2830,0,0,-583,44,2241,1
4655,57184,1,EducationAndTraining,2619,1,0,3118,46,14034,1
2075,99063,2,WholesaleTrade,2954,1,1,7131,63,5678,1
6397,25978,2,Manufacturing,8360,0,1,6751,64,9039,1
14903,88374,2,"Transport,PostalAndWarehousing",2866,1,1,2020,49,13489,1
4633,83886,1,"Transport,PostalAndWarehousing",2690,0,1,-502,37,2084,1
7820,70708,1,AgricultureForestryAndFishing,2961,0,1,-88,60,8174,1
4326,56165,2,RetailTrade,7507,0,0,5174,37,1797,1
7691,44186,2,Construction,4196,1,1,8631,44,14130,1
8286,20869,2,ArtsAndRecreation,8534,0,0,2177,48,5618,1
2984,8773,2,AccommodationAndFoodServices,2626,1,0,9946,47,11057,1
7521,99055,2,ServicesSectors,2666,1,0,-298,37,11258,1
12848,55682,1,"Transport,PostalAndWarehousing",2615,1,1,5651,44,4383,1
7375,20398,1,"Transport,PostalAndWarehousing",2991,0,1,1527,45,8905,1
7717,61780,2,EducationAndTraining,0244,0,1,1596,60,7708,1
8745,57829,1,PublicAdministrationAndSafety,2726,0,1,3452,50,9462,1
13661,99968,2,HealthCareAndSocialAssistance,2990,1,1,3713,63,8839,1
13344,60855,2,ArtsAndRecreation,2984,0,1,9846,45,10919,1
10413,71851,1,Construction,2930,1,0,1814,61,14536,1
3009,40485,1,Manufacturing,5632,0,0,2025,36,9881,1
3618,24322,2,Construction,2953,1,1,332,58,9791,1
3632,12309,2,ElectricityGasWaterAndWasteServices,2973,1,1,1801,41,7840,1
7759,48735,2,HealthCareAndSocialAssistance,2749,1,0,8442,49,4047,1
5035,23581,2,ArtsAndRecreation,2787,0,1,1050,59,12543,1
14850,15923,1,ProfessionalScientificAndTechnicalServices,2920,1,1,181,62,11686,1
1353,22451,1,AgricultureForestryAndFishing,2029,0,0,-442,63,9374,1
1971,97853,1,WholesaleTrade,2955,1,0,-717,51,6350,1
11031,13968,2,WholesaleTrade,7840,1,1,9044,62,5643,1
5087,94013,1,ProfessionalScientificAndTechnicalServices,2934,1,1,9222,45,12478,1
2001,87602,2,OtherServices,0866,1,1,4924,55,10588,1
13391,53067,1,OtherServices,2999,1,0,5146,61,9982,1
9069,12907,1,"Transport,PostalAndWarehousing",2606,1,0,1599,62,12359,1
14050,26416,2,RentalHiringAndTrade,2029,1,0,1628,50,5631,1
4162,9574,2,AgricultureForestryAndFishing,2632,0,0,628,57,9253,1
1070,12410,2,OtherServices,4379,0,0,7697,63,1909,1
1518,32091,2,HealthCareAndSocialAssistance,2922,1,0,3225,54,5204,1
14760,25886,1,AgricultureForestryAndFishing,2424,0,0,-365,48,2418,1
3250,73345,1,HealthCareAndSocialAssistance,0874,0,1,-723,60,12984,1
8497,54212,1,ElectricityGasWaterAndWasteServices,2633,0,1,786,48,13841,1
10281,41378,2,RetailTrade,2695,1,1,9649,54,7923,1
8454,83242,1,RetailTrade,2864,1,1,6505,54,8122,1
7558,86125,1,RetailTrade,2951,0,1,467,44,3962,1
13400,68132,1,AccommodationAndFoodServices,2980,0,0,7000,51,4987,1
13780,61819,2,Construction,2176,1,1,1252,40,2601,1
8599,75807,1,ArtsAndRecreation,2668,0,1,2427,35,2361,1
4365,35056,2,Construction,2740,1,1,8136,49,13506,1
12654,70999,2,HealthCareAndSocialAssistance,2927,1,0,1356,49,1415,1
3906,13697,2,ArtsAndRecreation,2619,1,1,2914,45,14892,1
2497,49225,1,ElectricityGasWaterAndWasteServices,2607,1,1,2105,59,2781,1
12244,35994,1,AccommodationAndFoodServices,2971,1,1,9262,35,5216,1
5796,95664,2,"Transport,PostalAndWarehousing",2663,0,1,9644,53,8765,1
6783,80626,2,Manufacturing,2617,1,1,2425,37,12710,1
1240,66131,1,Construction,1840,1,1,8794,35,6903,1
8401,9014,2,ProfessionalScientificAndTechnicalServices,3988,1,1,2047,51,12885,1
7118,73915,2,AgricultureForestryAndFishing,2075,1,1,7769,44,9059,1
11232,72184,1,ArtsAndRecreation,2612,0,1,9009,36,10400,1
4796,53700,2,AccommodationAndFoodServices,2831,0,1,1103,51,12540,1
3947,29514,2,Construction,7109,0,0,-446,63,8676,1
4545,98078,1,ArtsAndRecreation,2963,0,1,2815,39,3736,1
10488,94187,2,EducationAndTraining,2923,0,1,6113,63,2427,1
2613,5352,1,PublicAdministrationAndSafety,2903,1,0,5809,58,13369,1
7258,63039,2,ElectricityGasWaterAndWasteServices,2675,1,1,3983,60,8710,1
14747,90645,2,OtherServices,2922,1,1,8735,50,8792,1
14718,75509,2,RentalHiringAndTrade,2665,1,1,6475,58,3687,1
2172,42924,1,WholesaleTrade,2454,1,0,-652,44,14516,1
5192,86281,2,Construction,2985,1,1,9254,50,11752,1
2314,19718,2,"Transport,PostalAndWarehousing",2965,1,1,3149,44,10444,1
2976,99424,2,RetailTrade,8282,0,0,5847,46,10347,1
9774,36638,2,AccommodationAndFoodServices,0922,0,0,6781,56,5135,1
3193,82062,2,EducationAndTraining,2920,1,1,429,63,13992,1
13741,14992,1,AgricultureForestryAndFishing,4312,0,0,6605,57,3016,1
14651,98930,2,InformationMediaAndTelecommunications,2202,0,1,2695,60,4526,1
6079,7370,2,EducationAndTraining,2420,1,1,8684,45,11435,1
7322,14113,1,OtherServices,0855,1,1,948,50,11520,1
1119,26209,1,RetailTrade,2405,0,0,3880,49,3605,1
4200,32565,2,EducationAndTraining,2916,1,1,8254,59,7316,1
11507,17513,2,WholesaleTrade,2620,1,1,3205,45,2987,1
11804,91858,1,AgricultureForestryAndFishing,2610,1,1,5928,38,3541,1
8847,89921,1,RetailTrade,0215,0,0,9592,49,2633,1
11891,76780,2,"Transport,PostalAndWarehousing",0939,0,0,1977,53,11422,1
12926,14851,2,WholesaleTrade,2810,1,0,4556,35,8434,1
9686,12710,1,AgricultureForestryAndFishing,2529,0,0,1675,51,10541,1
6011,12812,1,OtherServices,0957,1,1,6063,42,9773,1
4424,8159,2,RetailTrade,2985,1,0,627,43,7708,1
10958,61295,2,ElectricityGasWaterAndWasteServices,0243,0,1,7019,60,3903,1
7987,24438,2,OtherServices,7244,0,0,9271,36,12988,1
11878,58125,2,RetailTrade,2660,1,1,-90,60,13999,1
10240,45777,1,WholesaleTrade,2664,0,1,2032,36,10644,1
6347,44339,1,ProfessionalScientificAndTechnicalServices,2660,1,0,4434,63,7865,1
10894,59586,2,HealthCareAndSocialAssistance,2664,1,1,5742,46,9017,1
9926,18299,1,ServicesSectors,2629,1,0,9740,57,12808,1
10557,80524,2,HealthCareAndSocialAssistance,0855,0,1,9597,56,13149,1
14193,31271,1,RetailTrade,2345,0,1,6402,40,1251,1
10783,74797,1,AccommodationAndFoodServices,2912,1,1,-244,50,14699,1
7719,10931,1,OtherServices,9032,0,1,-581,41,13723,1
9357,54899,1,ProfessionalScientificAndTechnicalServices,2962,1,1,3732,36,6911,1
2445,35647,2,RetailTrade,2941,0,1,3954,53,14291,1
14313,48762,1,HealthCareAndSocialAssistance,2873,1,0,7955,51,9861,1
5801,55136,1,InformationMediaAndTelecommunications,2934,1,0,4086,58,14170,1
12368,86685,1,OtherServices,0277,1,1,6371,43,13092,1
11212,47417,2,"Transport,PostalAndWarehousing",7640,1,1,2360,47,10574,1
8299,22685,2,OtherServices,2938,0,1,4950,46,13046,1
3561,22949,2,HealthCareAndSocialAssistance,2619,1,1,6059,43,4709,1
4367,6289,2,RetailTrade,0931,1,0,6154,62,4541,1
10598,57207,1,HealthCareAndSocialAssistance,2920,1,0,404,45,9126,1
10233,5295,2,ArtsAndRecreation,2924,1,0,7093,49,6871,1
1787,7764,2,PublicAdministrationAndSafety,2860,1,0,8603,58,4865,1
7818,61976,1,WholesaleTrade,2680,1,1,-62,62,5854,1
14080,98936,2,RentalHiringAndTrade,2989,0,1,1100,55,13002,1
7941,11483,2,Manufacturing,2562,0,1,-120,60,3325,1
13685,8446,2,PublicAdministrationAndSafety,2670,1,1,1495,35,3257,1
9659,69009,2,AccommodationAndFoodServices,2935,1,0,9996,35,13223,1
5572,49871,1,RetailTrade,2537,1,1,1168,62,9467,1
11228,89998,1,Manufacturing,2976,0,1,2395,51,8864,1
4816,24670,2,InformationMediaAndTelecommunications,2012,0,1,3666,39,11090,1
7973,84639,2,InformationMediaAndTelecommunications,2929,1,0,8538,44,1337,1
5471,12812,1,ElectricityGasWaterAndWasteServices,2902,0,0,3385,40,10779,1
3109,37558,1,Construction,0946,1,1,-196,62,12442,1
6977,66035,1,ProfessionalScientificAndTechnicalServices,2674,1,1,1105,41,3816,1
2458,43678,2,HealthCareAndSocialAssistance,2950,1,0,7419,64,12480,1
2295,13903,2,RentalHiringAndTrade,2925,0,1,8045,54,7398,1
14946,80790,2,ArtsAndRecreation,2648,1,0,8807,35,3660,1
10867,56861,1,RetailTrade,2692,1,0,-540,38,8575,1
13246,45515,1,RentalHiringAndTrade,0909,0,1,-204,52,4409,1
2945,80042,2,Construction,2900,0,1,3891,51,9471,1
14748,75901,1,Manufacturing,4234,0,1,4437,42,6202,1
14039,98818,1,ArtsAndRecreation,2900,0,1,7667,38,13412,1
7030,24854,1,"Transport,PostalAndWarehousing",4266,0,0,6114,40,11254,1
13851,9271,2,HealthCareAndSocialAssistance,2523,0,1,662,63,13044,1
3632,31260,1,ElectricityGasWaterAndWasteServices,5518,0,1,157,42,11409,1
6707,73138,2,OtherServices,2619,1,1,-504,59,8518,1
2559,39282,2,ArtsAndRecreation,5999,0,1,9720,62,7027,1
1087,40391,2,HealthCareAndSocialAssistance,6947,1,1,2149,38,6371,1
5951,10679,2,EducationAndTraining,2658,1,0,4093,37,5844,1
3416,80612,1,HealthCareAndSocialAssistance,2621,1,1,9708,35,4695,1
4050,71710,2,ElectricityGasWaterAndWasteServices,2925,0,1,4563,51,2474,1
3543,65084,2,WholesaleTrade,2944,0,0,4556,54,4730,1
1964,48230,1,RentalHiringAndTrade,2647,1,1,6970,61,7831,1
6416,57492,2,AccommodationAndFoodServices,2657,0,1,5269,36,5174,1
4107,97210,1,ProfessionalScientificAndTechnicalServices,2365,0,1,7973,48,12605,1
14293,17164,2,AgricultureForestryAndFishing,8379,1,0,2957,47,12373,1
14735,25625,1,InformationMediaAndTelecommunications,2384,1,1,3111,42,11479,1
2624,61450,2,"Transport,PostalAndWarehousing",2971,0,0,9987,46,4999,1
4056,93387,1,InformationMediaAndTelecommunications,0277,0,1,5690,45,4300,1
3106,77137,1,"Transport,PostalAndWarehousing",2634,0,1,4569,45,3792,1
7133,23490,1,Construction,2967,1,1,9641,40,13845,1
7416,28657,2,AgricultureForestryAndFishing,2685,0,1,3975,35,3067,1
7171,59873,2,ServicesSectors,3154,1,0,-247,55,12523,1
1188,7600,2,ArtsAndRecreation,8107,0,0,-524,54,1476,1
3960,5568,1,AccommodationAndFoodServices,2641,1,0,4584,59,11388,1
