monthly_revenue,loanAmt,businessHistory,industry,zipCode,hasProperty,otherLoan,cash,directorAge,taxReturn,isDefault
201847,99297,5,Construction,2691,1,0,136927,26,22405,0
244335,55816,9,ServicesSectors,1427,0,0,79120,32,41477,0
72483,84697,8,ServicesSectors,2914,1,1,81503,25,34195,0
125500,88260,4,RetailTrade,2988,1,0,68197,26,47008,0
217556,86156,9,AccommodationAndFoodServices,2723,1,1,54914,37,36909,0
105434,78371,6,RetailTrade,9195,1,0,68433,29,25930,0
87576,79677,4,AccommodationAndFoodServices,2915,0,1,126977,26,41367,0
162262,50505,8,Construction,2911,1,1,134219,25,29584,0
198826,60944,9,Construction,2982,1,1,109423,37,48138,0
96769,82705,8,ServicesSectors,2558,1,1,31694,36,47922,0
96324,68089,8,ServicesSectors,2675,1,1,41165,30,15122,0
105094,93092,9,AccommodationAndFoodServices,2972,0,1,106639,33,13932,0
179372,56830,9,HealthCareAndSocialAssistance,2973,0,0,38630,38,15585,0
207871,75691,9,ServicesSectors,2993,0,1,122345,31,39303,0
125111,96573,5,ServicesSectors,2330,1,1,133656,36,42677,0
181221,92827,4,ServicesSectors,2189,0,1,139845,31,48594,0
116164,61035,6,Construction,2693,0,0,55207,32,39529,0
128063,88577,8,HealthCareAndSocialAssistance,0936,0,0,93051,28,36542,0
111271,78525,9,AccommodationAndFoodServices,2937,1,0,24488,29,43906,0
120393,93412,7,Construction,2619,0,1,27506,38,12678,0
235306,69283,7,ServicesSectors,2941,1,1,102506,31,38533,0
89724,83992,9,OtherServices,0261,1,1,103314,36,25718,0
205603,70396,6,HealthCareAndSocialAssistance,2651,0,0,46353,37,13013,0
140122,58538,6,AccommodationAndFoodServices,2167,1,0,129491,36,44085,0
73416,50812,6,Construction,2946,0,0,132372,26,32098,0
135181,68830,5,OtherServices,2418,1,1,128582,35,16602,0
182802,50855,4,Construction,2633,1,0,122318,37,11093,0
149289,60120,9,OtherServices,0231,0,0,139369,35,20834,0
124868,57292,4,Construction,2668,0,1,65827,30,14588,0
236674,95937,8,OtherServices,2919,0,0,83820,38,33325,0
201114,90120,5,OtherServices,5465,1,0,131247,29,47056,0
82284,76442,8,ServicesSectors,2908,0,1,98848,36,27934,0
180975,82610,5,EducationAndTraining,2912,0,0,24072,34,33862,0
124916,88600,4,RetailTrade,0206,0,1,97935,33,49495,0
70561,82695,9,OtherServices,2686,0,1,130184,34,26883,0
123384,80742,8,AccommodationAndFoodServices,2963,1,1,147089,27,35467,0
157310,69312,8,AccommodationAndFoodServices,0912,1,1,81504,30,31453,0
198145,93694,6,ServicesSectors,0949,1,1,107119,31,45376,0
212659,57560,5,Construction,2668,0,0,40920,31,11653,0
68055,96370,9,Construction,0978,1,1,138022,25,47709,0
68526,77106,6,HealthCareAndSocialAssistance,2638,1,1,41955,38,15267,0
238851,92957,5,ServicesSectors,2929,1,0,138414,30,16612,0
240726,56167,8,Construction,2299,0,1,135345,26,38397,0
217413,85033,7,AccommodationAndFoodServices,2603,0,1,134913,34,22821,0
106727,79908,7,RetailTrade,2952,0,1,100087,36,17840,0
134720,72930,5,HealthCareAndSocialAssistance,2139,1,0,145856,27,19087,0
209624,88891,4,ServicesSectors,2634,1,1,36863,28,13077,0
65514,57365,8,ServicesSectors,2750,0,0,35750,30,44060,0
234851,56179,6,Construction,2529,0,0,23668,32,24316,0
125174,82960,9,EducationAndTraining,2952,1,0,61658,27,12339,0
110439,58193,6,OtherServices,1720,1,0,98577,30,29993,0
128756,81727,5,EducationAndTraining,2998,1,0,75249,35,44576,0
159490,77963,5,RetailTrade,2605,0,0,75309,26,14113,0
166176,77734,7,OtherServices,8078,0,0,110279,26,32512,0
175280,70140,9,EducationAndTraining,2642,0,0,146667,30,25012,0
191408,89660,8,ServicesSectors,2733,0,0,109980,34,43396,0
134217,69047,5,RetailTrade,0981,1,0,134015,27,35398,0
153683,63136,8,AccommodationAndFoodServices,3133,1,0,134835,31,33357,0
102341,94206,8,ServicesSectors,2282,0,1,137293,33,36733,0
137615,59498,9,HealthCareAndSocialAssistance,2102,0,0,73453,32,10194,0
188668,65915,4,ServicesSectors,2694,1,0,86132,37,10802,0
101167,75171,8,Construction,2680,0,0,59659,26,47697,0
124372,82455,7,Construction,2923,1,0,32975,30,26095,0
98273,77095,5,ServicesSectors,6020,0,0,76654,33,12881,0
198316,62337,8,HealthCareAndSocialAssistance,2911,0,1,20873,26,42969,0
80368,51397,7,Construction,4526,0,1,88882,31,24011,0
182008,68113,9,RetailTrade,2976,0,0,84645,29,34152,0
107811,67910,4,ServicesSectors,2841,0,0,45435,32,25723,0
159745,94868,7,RetailTrade,2965,1,1,73719,35,39038,0
246768,58081,9,RetailTrade,2666,1,0,41110,39,16232,0
120931,88121,6,Construction,2920,0,1,117657,35,42730,0
137320,72291,5,AccommodationAndFoodServices,2991,1,1,138439,33,23339,0
109451,50021,4,ServicesSectors,2254,1,1,23012,38,32003,0
201625,59516,6,AccommodationAndFoodServices,2012,0,1,120357,25,21444,0
177916,53893,5,RetailTrade,9026,0,1,40123,32,16217,0
159983,66454,6,RetailTrade,2920,1,1,74698,27,19534,0
238746,67125,9,AccommodationAndFoodServices,7947,0,1,72899,29,24593,0
209966,50190,4,OtherServices,2649,0,1,89039,29,36484,0
208265,86859,7,ServicesSectors,1473,1,1,100639,39,44898,0
245517,92980,4,Construction,2643,1,1,105755,33,30343,0
227737,89601,6,AccommodationAndFoodServices,2975,1,0,83299,33,40230,0
238069,96395,6,Construction,2966,1,1,19053,26,11782,0
100655,82694,5,HealthCareAndSocialAssistance,2742,1,0,119739,26,18909,0
183085,93477,6,Construction,2681,0,1,25086,25,29176,0
133953,60761,8,AccommodationAndFoodServices,2923,0,0,107865,32,13672,0
114060,99616,9,HealthCareAndSocialAssistance,2954,0,0,40071,32,40776,0
154453,61580,9,RetailTrade,2686,1,1,143395,29,18271,0
185890,62797,7,EducationAndTraining,9248,0,1,78645,35,46874,0
244978,91293,6,RetailTrade,7345,0,1,86233,25,24574,0
154153,53167,4,ServicesSectors,2641,1,0,137142,32,48436,0
150403,82962,6,EducationAndTraining,7840,1,1,37715,32,49965,0
213366,57138,6,Construction,2978,1,0,135686,25,20226,0
78726,68580,8,HealthCareAndSocialAssistance,2546,1,1,99333,25,28487,0
112614,60110,8,HealthCareAndSocialAssistance,2875,1,0,45686,38,39801,0
92731,68906,4,AccommodationAndFoodServices,2692,0,1,98311,35,29728,0
125300,79431,5,OtherServices,2920,0,0,26354,39,32840,0
246112,83641,5,OtherServices,2245,0,1,25832,34,13136,0
172281,64919,4,ServicesSectors,2056,0,0,51267,39,22776,0
204251,54049,6,ServicesSectors,2154,1,1,39248,37,16422,0
229895,92913,8,HealthCareAndSocialAssistance,2986,0,1,138204,30,24836,0
197283,98626,7,EducationAndTraining,0960,0,1,68217,27,24786,0
204322,72487,9,RetailTrade,1787,1,1,120557,28,16526,0
226366,66166,6,HealthCareAndSocialAssistance,0952,1,0,39268,38,37087,0
183918,61723,5,Construction,2626,0,1,93015,35,15534,0
96852,73954,5,HealthCareAndSocialAssistance,2079,1,0,15607,33,43865,0
77912,60322,9,HealthCareAndSocialAssistance,0992,1,1,35413,30,42612,0
163203,85905,4,Construction,2943,0,0,105192,28,21330,0
247013,55685,6,EducationAndTraining,2623,1,0,46221,29,40765,0
158934,66343,9,ServicesSectors,5434,1,1,54586,38,30040,0
126445,79020,6,OtherServices,2920,1,1,31267,37,16406,0
203912,97966,4,RetailTrade,2946,1,0,80534,37,16593,0
131444,89281,8,AccommodationAndFoodServices,2920,0,0,83364,34,40856,0
249675,68901,6,EducationAndTraining,2406,1,1,61778,27,45358,0
71307,51967,7,Construction,0859,1,1,41038,29,46761,0
139229,51878,9,EducationAndTraining,2375,0,0,142556,31,37547,0
73293,91723,9,RetailTrade,0937,0,1,50893,26,35768,0
65347,72280,5,Construction,2662,1,1,39822,31,24415,0
217351,71613,9,RetailTrade,2699,0,0,21647,34,45583,0
