monthly_revenue,loanAmt,businessHistory,industry,zipCode,hasProperty,otherLoan,cash,directorAge,taxReturn,isDefault
211365,65159,9,Construction,2677,1,1,73426,34,41933,1
140726,98013,9,Health Care and Social Assistance,2580,1,1,141591,32,25989,1
120404,88427,7,Construction,2660,1,1,92136,35,25861,1
126617,99504,7,Construction,8101,1,1,129466,34,40484,1
190928,95355,6,Retail Trade,2611,1,1,53884,35,24309,1
130739,96674,7,Education and Training,2942,1,1,66422,38,42047,1
87864,71872,7,Construction,2922,1,1,80861,39,13612,1
171618,53329,4,Construction,2789,1,1,122585,33,45125,1
228318,55103,8,Education and Training,2949,1,1,29332,37,37807,1
99015,69258,8,Retail Trade,9849,1,1,111473,35,10100,1
131900,86247,6,Accommodation and Food Services,2684,1,1,117652,29,35520,1
150097,80636,7,Retail Trade,2985,1,1,37689,26,28156,1
126279,56071,7,Construction,2949,1,1,128670,25,27731,1
147967,90600,7,Accommodation and Food Services,2619,1,1,75655,26,42598,1
98937,52421,6,Services Sectors,2944,1,1,140090,30,42022,1
227277,97923,8,Accommodation and Food Services,2250,1,1,121577,33,26748,1
80965,76287,9,Other Services,2619,1,1,108216,39,25086,1
231086,91051,7,Accommodation and Food Services,2959,1,1,26437,32,34046,1
69359,80712,5,Services Sectors,9497,1,1,122884,28,18486,1
211218,70217,7,Health Care and Social Assistance,5932,1,1,64682,30,14913,1
142397,63618,4,Retail Trade,2996,1,1,43176,29,10560,1
197182,67058,8,Other Services,0922,1,1,83925,26,23923,1
180273,82059,5,Services Sectors,2920,1,1,136217,25,41193,1
245407,65447,5,Accommodation and Food Services,2668,1,1,77382,37,27523,1
130208,57706,7,Services Sectors,2643,1,1,15245,34,44300,1
238660,52176,4,Other Services,2659,1,1,65657,30,37140,1
197345,99802,6,Retail Trade,2692,1,1,81910,33,37315,1
149065,79619,4,Retail Trade,2663,1,1,23305,33,25052,1
142981,66683,6,Retail Trade,2999,1,1,129463,31,44795,1
213929,71962,4,Retail Trade,9068,1,1,86975,26,19648,1
67776,62290,6,Accommodation and Food Services,2994,1,1,148309,27,23479,1
235458,90627,4,Construction,0297,1,1,129953,35,15450,1
152406,90230,4,Other Services,0890,1,1,89862,26,16693,1
162453,57127,8,Health Care and Social Assistance,2968,1,1,88845,32,48240,1
117810,97793,4,Education and Training,0868,1,1,52404,36,32044,1
203943,51692,5,Accommodation and Food Services,2900,1,1,68292,27,45786,1
176801,71045,9,Construction,2978,1,1,55553,39,14036,1
108765,58788,8,Construction,2648,1,1,63247,33,46846,1
212198,71164,8,Construction,0862,1,1,25376,27,10734,1
117750,90783,6,Construction,2990,1,1,67915,28,10460,1
241991,63086,4,Health Care and Social Assistance,2995,1,1,62978,31,48559,1
112574,65670,6,Other Services,2697,1,1,114677,31,33886,1
89904,70554,6,Services Sectors,2928,1,1,120952,38,11410,1
200943,75010,4,Retail Trade,2632,1,1,27897,32,44638,1
219251,93106,9,Education and Training,1286,1,1,94084,36,31034,1
222211,75267,4,Health Care and Social Assistance,2911,1,1,105777,27,30288,1
102216,79781,6,Education and Training,2906,1,1,144114,29,43315,1
194225,59715,5,Other Services,2999,1,1,115718,30,16008,1
157161,94328,6,Construction,2929,1,1,16153,31,20841,1
99911,66533,4,Accommodation and Food Services,2643,1,1,75097,29,34930,1
70060,55000,6,Accommodation and Food Services,2996,1,1,126314,37,15873,1
181817,54832,6,Other Services,4746,1,1,108511,37,35256,1
106966,78450,6,Education and Training,0247,1,1,119131,25,49887,1
89970,80518,7,Other Services,2723,1,1,59921,35,28641,1
206890,95451,8,Health Care and Social Assistance,9426,1,1,56259,31,45452,1
84364,80637,5,Services Sectors,0933,1,1,60414,30,43346,1
