monthly_revenue,loanAmt,businessHistory,industry,zipCode,hasProperty,otherLoan,cash,directorAge,taxReturn,isDefault
28014,45162,3,Construction,9712,0,1,10558,41,6552,0
34259,49209,2,OtherServices,2961,1,1,24699,42,7527,0
25821,98811,2,AccommodationAndFoodServices,2904,0,1,24830,45,6753,0
47151,37224,2,Construction,2639,0,1,23800,34,5458,0
61641,56375,3,EducationAndTraining,2633,0,1,16688,33,6922,0
19995,42675,2,ServicesSectors,7669,1,1,8860,60,8249,0
14814,7265,2,AccommodationAndFoodServices,2529,0,1,8476,61,7234,0
46968,39471,2,OtherServices,2951,0,1,9183,53,6299,0
23561,73795,2,Construction,2603,1,1,23573,36,8657,0
64475,67742,2,HealthCareAndSocialAssistance,2661,1,1,18396,39,9575,0
17932,98778,3,EducationAndTraining,8545,1,1,12722,34,5117,0
60742,36506,2,RetailTrade,9162,0,1,24326,56,6278,0
41610,82384,3,RetailTrade,2694,0,1,17919,33,8893,0
24151,22656,3,RetailTrade,2697,0,1,9373,30,7161,0
50273,92264,3,Construction,0228,0,1,11480,30,7043,0
60489,21524,3,ServicesSectors,2943,1,1,20160,43,6405,0
18964,50359,3,EducationAndTraining,2969,1,1,6290,31,7082,0
34225,39034,3,ServicesSectors,0903,0,1,20918,27,5023,0
26174,10493,2,HealthCareAndSocialAssistance,2137,1,1,16149,28,8745,0
13287,48817,2,RetailTrade,4700,1,1,23290,54,5354,0
29918,70937,2,OtherServices,2970,0,1,20719,33,9201,0
40031,5784,2,EducationAndTraining,2649,1,1,18549,51,9055,0
30158,25258,2,HealthCareAndSocialAssistance,2643,0,1,14981,36,8312,0
39952,58837,3,OtherServices,8950,1,1,11448,53,7994,0
39954,31858,2,HealthCareAndSocialAssistance,2324,0,1,20309,39,9039,0
42858,74863,3,AccommodationAndFoodServices,2721,1,1,13415,59,8955,0
20962,40295,2,HealthCareAndSocialAssistance,0270,1,1,5502,31,8429,0
42669,14831,3,ServicesSectors,2237,0,1,11419,46,7839,0
21469,67214,2,Construction,2776,0,1,11795,57,5254,0
44696,86398,2,Construction,2653,1,1,12937,28,5708,0
50919,72277,3,AccommodationAndFoodServices,2607,0,1,21439,52,7409,0
30313,52917,3,Construction,2002,0,1,22097,47,6688,0
60722,30689,3,EducationAndTraining,9281,1,1,19040,33,9372,0
