monthly_revenue,loanAmt,businessHistory,industry,zipCode,hasProperty,otherLoan,cash,directorAge,taxReturn,isDefault
43995,38656,3,RetailTrade,8131,0,0,39997,51,39759,1
51557,81214,3,OtherServices,2608,1,1,45715,52,28150,1
48830,30006,3,HealthCareAndSocialAssistance,2903,1,0,6501,61,42405,1
62567,35552,3,EducationAndTraining,2600,1,1,42143,46,44181,1
45720,79963,2,Construction,5184,0,0,11832,64,47525,1
61108,60436,2,Construction,2453,0,1,39067,60,49690,1
61733,72456,2,ServicesSectors,2130,1,1,9232,60,10256,1
49040,28488,3,RetailTrade,2939,0,0,5288,36,28144,1
60702,32142,2,EducationAndTraining,4348,0,0,11025,63,21866,1
51693,34523,3,RetailTrade,2943,0,1,44132,55,44907,1
46311,68800,3,HealthCareAndSocialAssistance,2675,0,1,35230,58,13246,1
45747,65241,2,HealthCareAndSocialAssistance,2619,1,1,48692,38,48706,1
44591,56703,2,ServicesSectors,2690,1,1,32622,33,25240,1
48904,44400,2,ServicesSectors,3034,0,1,42406,31,32186,1
55826,31892,2,EducationAndTraining,2601,0,0,11106,37,46151,1
59819,76612,3,AccommodationAndFoodServices,2513,1,0,24357,57,42394,1
46469,45731,2,EducationAndTraining,2453,0,1,36255,47,32371,1
43570,91701,2,RetailTrade,2648,1,1,13726,54,18166,1
47469,58362,3,Construction,0216,1,1,45152,26,42024,1
49044,58168,2,ServicesSectors,2692,0,0,31175,54,23354,1
44955,55779,2,Construction,2975,0,0,5805,57,12177,1
49637,90982,3,AccommodationAndFoodServices,2664,0,0,39627,51,34705,1
42298,55031,2,Construction,2010,1,1,44673,47,31181,1
59845,25035,3,AccommodationAndFoodServices,2413,1,0,48605,27,21102,1
60115,30702,3,RetailTrade,0845,1,0,35450,40,21607,1
62821,30010,2,OtherServices,2619,1,1,30173,47,20905,1
63276,50272,2,RetailTrade,5421,1,1,48191,28,24285,1
46606,17543,3,HealthCareAndSocialAssistance,3241,0,0,18552,48,10638,1
46555,41122,2,Construction,2678,0,1,43105,64,28005,1
44488,64798,2,Construction,2920,0,0,43548,31,25654,1
49523,29396,2,AccommodationAndFoodServices,2670,0,0,47527,36,31516,1
53510,98967,2,RetailTrade,2853,0,0,18435,37,34948,1
47201,18138,2,HealthCareAndSocialAssistance,2349,1,0,18017,57,48705,1
53937,54856,3,HealthCareAndSocialAssistance,2967,1,0,35361,35,23441,1
62128,48898,3,RetailTrade,0842,0,0,17151,43,14988,1
58676,63121,2,OtherServices,2579,0,1,19571,60,44569,1
47440,33421,3,ServicesSectors,2377,0,1,36268,53,13577,1
62561,69067,3,ServicesSectors,2691,0,0,28687,56,16013,1
46323,49281,2,Construction,6962,0,1,34518,32,47747,1
52248,30465,3,AccommodationAndFoodServices,2934,0,0,16536,49,16702,1
59592,99700,3,HealthCareAndSocialAssistance,2007,0,0,5733,44,32959,1
57996,92670,3,HealthCareAndSocialAssistance,2629,1,1,37761,34,17030,1
55686,89109,2,Construction,2991,0,1,19185,51,18797,1
53794,64370,3,OtherServices,2799,0,1,7672,62,43795,1
56925,29418,2,RetailTrade,2918,1,1,31785,45,31799,1
45279,73647,3,RetailTrade,2179,0,1,35527,55,27483,1
51399,39662,3,EducationAndTraining,0847,1,1,48350,58,22752,1
43753,32527,3,Construction,2908,0,0,44835,29,39689,1
54449,29804,2,ServicesSectors,2987,0,0,35879,59,22500,1
45196,48370,2,HealthCareAndSocialAssistance,0957,0,0,15188,57,29005,1
49872,36820,2,RetailTrade,0876,1,0,10434,61,28710,1
61139,79185,3,HealthCareAndSocialAssistance,2963,1,0,31967,35,41881,1
59929,84508,2,Construction,2496,1,1,10410,42,26446,1
50874,25302,2,Construction,2678,0,0,8890,58,14391,1
42375,89355,3,RetailTrade,2946,0,1,43305,57,39373,1
56498,76769,2,ServicesSectors,0264,1,1,7039,44,26346,1
57431,41868,2,AccommodationAndFoodServices,2972,0,0,21354,62,25588,1
60162,37502,2,OtherServices,2641,1,1,29511,44,35821,1
58011,70229,2,ServicesSectors,6948,1,1,46261,41,31543,1
62739,62642,3,Construction,0843,0,1,39153,27,33744,1
58175,21268,3,EducationAndTraining,8488,1,1,22999,54,29420,1
43079,52896,3,Construction,2676,1,0,47355,61,48051,1
62309,92276,2,EducationAndTraining,2619,0,1,49594,58,26389,1
50908,99265,2,OtherServices,8259,1,0,23873,60,42426,1
55231,30168,3,Construction,2964,1,0,17095,52,34078,1
50183,30444,3,OtherServices,2920,1,0,47498,55,33486,1
55560,79545,3,Construction,2889,0,0,13996,48,40647,1
42543,61222,2,Construction,1312,0,0,15554,32,30355,1
62742,92568,3,HealthCareAndSocialAssistance,2662,1,0,44963,34,15820,1
54728,52259,2,AccommodationAndFoodServices,1896,0,1,40139,46,13006,1
53852,39269,2,OtherServices,5365,0,1,28005,47,45550,1
49884,67214,3,AccommodationAndFoodServices,2624,0,1,5557,42,46199,1
44946,97074,2,EducationAndTraining,7917,0,0,34790,60,33582,1
64854,34642,2,ServicesSectors,2990,0,0,21907,44,33281,1
47784,47973,2,AccommodationAndFoodServices,0971,0,0,15877,61,26625,1
61787,25242,3,EducationAndTraining,8969,1,1,27600,59,31276,1
