monthly_revenue,loanAmt,businessHistory,industry,zipCode,hasProperty,otherLoan,cash,directorAge,taxReturn,isDefault
52424,98773,3,Education and Training,2482,1,1,15617,41,45844,1
56043,77733,2,Education and Training,1102,1,1,35453,38,42940,1
56421,30859,3,Education and Training,2615,1,1,26436,27,24928,1
46176,93539,2,Other Services,2629,1,1,5869,60,31907,1
44194,57565,2,Other Services,2975,1,1,33836,26,35856,1
44718,80509,2,Health Care and Social Assistance,2958,1,1,9059,28,22052,1
58539,73227,3,Other Services,2979,1,1,49236,61,41843,1
55310,95204,3,Other Services,2372,1,1,16774,45,24954,1
63574,46822,2,Retail Trade,2966,1,1,47858,64,28596,1
64985,79113,3,Construction,2991,1,1,49495,34,20226,1
42154,36492,2,Services Sectors,2649,1,1,28301,46,36726,1
62849,60904,3,Other Services,7800,1,1,40704,63,11864,1
43007,16594,3,Services Sectors,2478,1,1,36519,51,33006,1
53817,48021,2,Accommodation and Food Services,2988,1,1,15410,45,19734,1
63548,99933,3,Health Care and Social Assistance,4716,1,1,42248,34,22898,1
64760,97374,2,Construction,2914,1,1,7070,51,45195,1
59110,34467,3,Other Services,0943,1,1,5057,32,49305,1
46757,56851,2,Education and Training,2651,1,1,34014,39,34539,1
50906,23774,2,Accommodation and Food Services,2926,1,1,20871,64,27397,1
56770,86591,2,Other Services,2634,1,1,6004,45,11206,1
59847,94366,2,Health Care and Social Assistance,2937,1,1,10799,31,31612,1
60990,35444,2,Other Services,2053,1,1,26190,34,24105,1
50846,37319,3,Accommodation and Food Services,2654,1,1,8739,37,16591,1
49375,98260,2,Health Care and Social Assistance,2053,1,1,43276,32,15403,1
57206,31043,2,Services Sectors,2684,1,1,21784,43,24953,1
52702,58350,3,Construction,0277,1,1,35491,49,12312,1
61743,31695,3,Health Care and Social Assistance,2610,1,1,41571,55,31252,1
49793,69598,3,Accommodation and Food Services,2982,1,1,21398,53,26827,1
63256,68276,2,Education and Training,0873,1,1,32811,26,20413,1
64193,81108,3,Construction,2693,1,1,34532,60,22287,1
44032,51255,2,Construction,2963,1,1,48173,38,15039,1
47637,32330,2,Accommodation and Food Services,0866,1,1,18024,44,37766,1
42660,61419,2,Construction,2189,1,1,13461,55,19098,1
