monthly_revenue,loanAmt,businessHistory,industry,zipCode,hasProperty,otherLoan,cash,directorAge,taxReturn,isDefault
14258,29003,0,OtherServices,2294,0,1,907,53,-4318,0
7482,37040,0,ServicesSectors,3699,1,1,4813,53,-3022,0
11900,56720,0,HealthCareAndSocialAssistance,2650,0,1,3535,29,-9573,0
4489,82776,0,EducationAndTraining,2689,1,1,4363,29,-6544,0
6189,57236,0,AccommodationAndFoodServices,2988,0,1,536,57,1304,0
3589,73155,0,EducationAndTraining,2619,1,1,1303,61,-3911,0
10128,49679,0,Construction,8928,1,1,3275,59,-7897,0
8591,25812,0,AccommodationAndFoodServices,8632,1,1,3449,43,2328,0
1318,7047,0,HealthCareAndSocialAssistance,2925,0,1,3897,26,4195,0
9671,47783,0,HealthCareAndSocialAssistance,6005,1,1,223,42,-7151,0
3266,40506,0,AccommodationAndFoodServices,5010,0,1,2127,30,3951,0
4403,82205,0,RetailTrade,2089,1,1,614,41,-1143,0
8879,76421,0,ServicesSectors,2682,1,1,3882,46,4786,0
1664,55440,0,Construction,2996,1,1,4165,45,-8950,0
4736,58802,0,OtherServices,2699,0,1,4505,38,-2231,0
4601,78254,0,OtherServices,2664,1,1,4691,64,1914,0
2508,64031,0,ServicesSectors,2949,1,1,587,42,-3331,0
4986,9881,0,AccommodationAndFoodServices,2600,1,1,804,40,3719,0
5823,9978,0,ServicesSectors,2600,1,1,1253,41,-7299,0
2088,37736,0,EducationAndTraining,2920,1,1,4912,43,3742,0
4007,69163,0,OtherServices,2956,0,1,4281,36,-9080,0
3556,80357,0,HealthCareAndSocialAssistance,0860,0,1,1989,53,-5604,0
4213,96260,0,Construction,2906,0,1,3330,53,-7086,0
10606,65481,0,Construction,0908,1,1,2610,41,-8826,0
1958,43661,0,AccommodationAndFoodServices,7946,0,1,1687,49,-7666,0
4069,42591,0,HealthCareAndSocialAssistance,5469,0,1,407,28,-9688,0
13392,56221,0,RetailTrade,1988,1,1,3256,37,-6169,0
7420,14409,0,ServicesSectors,2888,0,1,1770,60,2185,0
12811,28273,0,OtherServices,2642,1,1,1407,41,1486,0
