monthly_revenue,loanAmt,businessHistory,industry,zipCode,hasProperty,otherLoan,cash,directorAge,taxReturn,isDefault
14716,22069,0,AccommodationAndFoodServices,2938,0,0,-3504,21,2320,1
7342,6722,0,OtherServices,4406,1,0,1067,23,2027,1
13330,53590,0,RetailTrade,0262,0,0,-2436,21,-4817,1
8827,18501,0,EducationAndTraining,8602,0,1,-547,19,1471,1
11635,96954,0,RetailTrade,0861,0,1,-3985,17,-2312,1
3290,34069,0,AccommodationAndFoodServices,2636,0,0,4983,18,-7475,1
8707,5833,0,RetailTrade,2569,1,0,12020,19,-1633,1
1057,59008,0,AccommodationAndFoodServices,2989,1,0,2454,19,-6126,1
2986,57495,0,HealthCareAndSocialAssistance,2942,1,1,560,19,-5485,1
14382,21940,0,OtherServices,2541,0,1,-225,20,-9447,1
6105,50696,0,Construction,2651,1,0,-234,19,4932,1
11116,14958,0,OtherServices,1756,0,0,2265,24,952,1
13434,31255,0,Construction,2986,0,0,18345,24,4850,1
13182,43308,0,Construction,2711,0,0,-1616,17,2236,1
13843,57548,0,OtherServices,2443,1,0,10601,22,-5366,1
4367,36624,0,EducationAndTraining,2657,1,0,11481,22,1150,1
1916,30292,0,RetailTrade,2920,0,1,8298,23,-9924,1
14673,83582,0,RetailTrade,6686,1,1,-2369,20,-2081,1
6545,37480,0,OtherServices,0907,1,1,11091,22,-8546,1
1297,28798,0,Construction,2990,0,1,18055,20,-7036,1
6656,45684,0,Construction,2600,1,0,10521,24,-260,1
9000,25985,0,Construction,2035,0,1,4006,24,1136,1
7164,90528,0,HealthCareAndSocialAssistance,2920,1,0,62,17,-7888,1
12881,46236,0,Construction,9422,1,0,6945,18,-7815,1
10332,17221,0,HealthCareAndSocialAssistance,0934,1,1,16180,19,-4244,1
14237,49158,0,EducationAndTraining,2922,0,0,16944,19,3130,1
7620,15364,0,ServicesSectors,8210,0,1,1785,21,1645,1
9088,21384,0,EducationAndTraining,2920,0,0,16399,18,-349,1
14629,55007,0,Construction,2684,0,0,2579,19,-6490,1
12297,38965,0,EducationAndTraining,2917,1,0,19863,23,4245,1
4702,15045,0,RetailTrade,6664,1,0,11554,23,-5070,1
